TurnKey GNU/Linux,"Alon Swartz, Liraz Siri",TurnKey GNU/Linux Team,2008,15.x[72],Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),2019-06-28,Debian Social Contract and DFSG,Debian,server based software appliance library aiming to balance security and ease of use,None,Active
Ubuntu and Derivatives[73],Canonical Ltd.,Canonical Ltd.,2004,20.10[74],"Standard releases 1 year, LTS releases 5 years. Flavor LTS releases 3 or 5 years. Ubuntu Pro 10 years.",2020-10-22,X,Debian,"general, server, desktop, supercomputer, IBM mainframe",None,Active
Univention Corporate Server,Univention GmbH,Univention GmbH,2004,4.4-4[75],"up to 6 months for the free Core Edition; if maintenance is purchased, it's up to 7 years, see:[76]",2020-03-24,X,Debian,"home, business, and school",Core Edition is free of charge,Active
Ututo,"Diego Saravia, Daniel Olivera",UTUTO dev team,2000,XS 2012,?,2012-04-27,100% Free: GNU FSDG[5],"Ututo XS: Gentoo Linux, Ututo UL: Ubuntu",general,None,Active
VectorLinux,Robert S. Lange,dev team,1999,VL 7.2[77],?,2017-08-28,X,Slackware,desktop,None,?
Void Linux,Juan Romero Pardines,Juan RP and contributors,2008,Rolling,Rolling,2019-11-09,X,"Independent, partially inspired by FreeBSD/NetBSD",general,None,Active
Webconverger,Kai Hendry,Webconverger Limited,2007,35.0,?,2016-05-19,X,Debian,"kiosk software, digital signage",Commercial,Active
Xandros,Xandros Incorporated,Xandros Incorporated,2001,?,?,2007-07-26,X,Corel Linux,?,Commercial,Inactive
Zentyal,eBox Technologies,eBox Technologies,2005,6.1[78],?,2019-12-12,X,"Debian, Ubuntu",small business server,Some editions are free of charge,?
Zenwalk,Jean-Philippe Guillemin,dev team,2004,Rolling[79],?,2018-03-09,X,Slackware,general,None,Active
Zorin OS,Zorin Group,Zorin Group,2009,OS 15[80],?,2019-06-05,X,Ubuntu,"general, desktop","Zorin OS Lite & Core are free, while Business and Ultimate are paid for",Active
Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
