Engine,Origin,Designer,Vehicle,Status,Use,Propellant,Specific impulse (s)[a],Thrust (N)[a],Mass (kg),Thrust:​weight ratio[b],Chamber pressure (bar),Oxidiser:​fuel ratio
RD-193, Russia,NPO Energomash,Soyuz-2-1v,Development,1st,RP-1 / LOX,337.5[45] 311.2 (SL),"2,084,894  1,922,103 (SL)","1,900",103.15,,
RD-276  14Д14М, Russia,NPO Energomash,Proton-M,Active,1st,N2O4 / UDMH,315.8[46] 288 (SL),"1,831,882  1,671,053 (SL)","1,120",171.2,168.5,
RD-8  11D513, Soviet Union,Pivdenne/Pivdenmash,Zenit,Active,2nd vernier,RP-1 / LOX,342,"78,450",380,,77.47,2.4
RD-801, Ukraine,Pivdenne/Pivdenmash,Mayak,Development,1st,RP-1 / LOX,336 [47] 300.7 (SL),"1,339,255 1,198,608 (SL)","1,630",,180,2.65
RD-809K, Ukraine,Pivdenne/Pivdenmash,Mayak,Development,Upper,RP-1 / LOX,352 [47],"98,067",330,,,2.62
RD-810, Ukraine,Pivdenne/Pivdenmash,"Mayak, Zenit",Development,1st,RP-1 / LOX,335.5 [48] 299 (SL),"2,104,890 1,876,149 (SL)","2,800",,180,2.65
RD-843, Ukraine,Pivdenne/Pivdenmash,Vega,Active,upper,N2O4 / UDMH,315.5,"2,452",15.93,,20.4,2.0
RD-861K, Ukraine,Pivdenne/Pivdenmash,Cyclone-4M,Development,2nd,N2O4 / UDMH,330 [49],"77,629",207,,,2.41
RD-870, Ukraine,Pivdenne/Pivdenmash,Cyclone-4M,Development,1st,RP-1 / LOX,340 [50] 301.5 (SL),"876,715 777,667 (SL)","1,353",,,2.684
Reaver 1, USA,Firefly Aerospace,Alpha,Development,1st,RP-1 / LOX,295.6[19],"184,000[19]",,,,
RL-10A-4-2[51], USA,Aerojet Rocketdyne,Atlas IIIB Atlas V,Active,Upper,LH2 / LOX,451,"99,195",168,60.27,42,5.5
RL-10B-2[51], USA,Aerojet Rocketdyne,Delta III Delta IV SLS,Active,Upper,LH2 / LOX,465.5,"110,093",301,37.27,44,5.88
RL-10C-1[51], USA,Aerojet Rocketdyne,"Delta III Delta IV SLS, Vulcan",Active,Upper,LH2 / LOX,450,"101,820",191,54.5,44,5.5
RS-25, USA,Rocketdyne,Space Shuttle SLS,Active,1st,LH2 / LOX,452.3 366 (SL),"2,279,000 1,860,000 (SL)[52]","3,526",53.79,206.4,
RS-68A[d], USA,Rocketdyne,Delta IV Delta IV Heavy,Active,1st,LH2 / LOX,411[53] 362 (SL),"3,558,577  3,135,996 (SL)","6,686",54.31,109,5.97
Rutherford, New Zealand  USA,Rocket Lab,Electron,Active,1st,RP-1 / LOX,311,"24,900  16,890 (SL)",35[54],49 (SL),,
Rutherford Vacuum, New Zealand  USA,Rocket Lab,Electron,Active,2nd,RP-1 / LOX,343,"25,800[54]",,,,
S200, India,SDSC,GSLV Mk III,Active,Booster,HTPB,274.5[55],"5,150,000[56][57][58]","207,000 with fuel[55]",,,
SCE-200, India,LPSC,GSLV Mk III  ULV,Development,"Upper, main",RP-1 / LOX,335 299 (SL),"2,030,000  1,820,000 (SL)","2,700",,180,
SLS Solid Rocket Booster[e], USA,Orbital ATK,SLS,Development,Booster,PBAN,267,"16,000,000","730,000  with fuel",,,
SLV-1, India,Godrej & Boyce,PSLV,Active,Booster,HTPB,253[59],"502,600","10,800  with fuel",,43,
SRB-A3, Japan,IHI Aerospace JAXA,"H-IIA
H-IIB Epsilon",Active,Booster,HTPB,283.6[60],"2,305,000  2,150,000 (SL)","76,600  with fuel",,111,
TEPREL, Spain,PLD Space,Miura 1 Miura 5,Operational,1st,RP-1 / LOX,,"32,000 (SL)",,,,
TQ-12[61], China,Landspace,ZQ-2,Development,1st,CH4 / LOX,284,"667,000 (SL)",,,101,
Vikas (rocket engine), India,LPSC,"
PSLV
GSLV
GSLV Mk III",Active,"2nd, main, booster",N2O4 / UDMH,262,"680,500–804,500  600,500–756,500 (SL)",,,53.0–58.5,
Vinci, Europe,Snecma,Ariane 6,Development,Upper,LH2 / LOX,467[62],"180,000",280,65.60,61,
Vulcain 2, Europe,Snecma,Ariane 5,Active,1st,LH2 / LOX,429[63]  318 (SL)[64],"1,359,000[63]  939,500 (SL)[64]","1,800[63]",77.04,117.3[63],
YF-100, China,AALPT,"
Long March 5
Long March 6
Long March 7",Active,"Booster, 1st",RP-1 / LOX,335[65]  300 (SL),"1,340,000  1,200,000 (SL)",,,180,
YF-115, China,AALPT,"
Long March 6
Long March 7",Active,2nd,RP-1 / LOX,341.5,"176,500",,,,
YF-21B, China,AALPT,"
Long March 2E
Long March 2F
Long March 3",Active,"Booster, 1st",N2O4 / UDMH,260.66 (SL)[66],"740,400 (SL)[66]",,,,
YF-21C, China,AALPT,"
Long March 2C
Long March 2D
Long March 3A
Long March 3B
Long March 3C
Long March 4B
Long March 4C",Active,1st,N2O4 / UDMH,260.7 (SL)[66],"740,400 (SL)[66]",,,,
YF-25, China,AALPT,"
Long March 3B
Long March 3C",Active,Booster,N2O4 / UDMH,260.66 (SL)[66],"740,400 (SL)[66]",,,,
YF-22B, China,AALPT,"
Long March 2E
Long March 2F",Active,2nd,N2O4 / UDMH,298.0[66],"738,400",,,,
YF-22C, China,AALPT,"
Long March 2C
Long March 2D
Long March 4B
Long March 4C",Active,2nd,N2O4 / UDMH,298.0[66],"742,040",,,,
YF-22D, China,AALPT,"
Long March 3",Active,2nd,N2O4 / UDMH,298.0[66],"741,400",,,,
YF-22E, China,AALPT,"
Long March 3A
Long March 3B
Long March 3C",Active,2nd,N2O4 / UDMH,298.0[66],"741,400",,,,
YF-40, China,AALPT,"
Long March 4B
Long March 4C",Active,3rd,N2O4 / UDMH,303,"103,000",,,,
YF-50D, China,AALPT,"
Long March 3B
Long March 3C
Long March 5
Long March 7",Active,Upper,N2O4 / UDMH,315.5,"6,500",,,,
YF-73, China,AALPT,Long March 3,Active,3rd,LH2 / LOX,420.0,"44,150",,,,
YF-75, China,AALPT,"
Long March 3A
Long March 3B
Long March 3C",Active,3rd,LH2 / LOX,438.0[66],"167,170",,,,
YF-75D, China,AALPT,Long March 5,Active,2nd,LH2 / LOX,442.0,"86,260",,,,
YF-77, China,AALPT,Long March 5,Active,1st,LH2 / LOX,430 310.2 (SL),"700,000 510,000 (SL)","2,700",,102,
YF-90, China,AALPT,Long March 9,Development,2nd,LH2 / LOX,453,"2,300,000",,,,
YF-100, China,AALPT,"Long March 7, Long March 5",Active,1st,RP-1/ LOX,300,"1,223,500","2,700",,133,
YF-130, China,AALPT,Long March 9,Development,1st,RP-1/ LOX,306,"4,800,000",,,,
Zefiro 9A, European Union,Avio,Vega,Active,3rd,HTPB,295.2[67],"314,000[67]","11,400 with fuel",,75,
Zefiro 23, European Union,Avio,Vega,Active,2nd,HTPB,287.5[68],"1,122,000[68]","25,935 with fuel",,,
Delphin, USA,Astra Space,Rocket 3.0[69],Active,1st,RP-1/LOX[70],,"27,000[71]",,,,
Aether, USA,Astra Space,Rocket 3.0[72],Active,2nd,RP-1/LOX[70],,,,,,
