Web host,Storage size,Max. file size,Traffic or bandwidth limit,Remote uploading?,Developer API?,FTP upload possible?,File versioning,Follows symlinks,Client-side encryption[1],Free GB (number only),Append-only support? [2],Lifecycle Policy support?,Misc. notes
MediaFire[44],"10 GB, +50 GB for referrals up to 1 TB Pro accounts; 100 TB Business accounts",20 GB[45],"10 TB pro plan, Business plans receive an amount of bandwidth per month equal to ten times the account’s storage space.[46]",Yes,Yes,No[47],Yes,?,Yes,10,,,Resuming of interrupted downloads possible.
Mega[48],"15 GB free, up to 50 GB free trial,[49] up to 16 TB paid",Available cloud drive space[50],"10 GB free, Up to 96 TB per month paid.[51]",No,Yes,No,Yes[52],?,Yes,15,,,"Apps for Windows, macOS, Linux, iOS, Android, Windows Phone, Blackberry, Chrome, Firefox, Safari[53] Supports HTML5 browsers.[54]"
OneDrive[55],"5 GB free (since 31 January 2016)[Note 1] +500 MB free for referrals up to 5 GB; 200 GB paid[58]
 1 TB with paid Office 365 account by default, can register 5 accounts for up to 5TB combined.[citation needed]",100 GB[59],None,Yes,Yes[60],No[61],Yes (Office files only),No[62],?,5,,,Fetch files allows remote access of files on Windows with OneDrive installed[63] 25 GB free for grandfathered accounts before April 2012[64]
SecureSafe[65],"100MB free,  up to 100GB paid [66]",?  2GB limit for SecureSend,None,No,No,No,No[65],?,Yes,0.1,,,Offers Data Inheritance [67]
SugarSync[68],"60 GB personal paid, Unlimited GB professional paid",None,"10 GB/file/day free, 250 GB file/day paid",No,REST[69],?,Yes,?,No,0,,,If you hit the limit your links will be disabled for 24 hours. The bandwidth limits only apply to public links.[70]
Tencent Weiyun[71],2 TB (10 GB free),"1 GB regular upload, 32 GB Power Upload plug-in",None,No,No,No,No,?,No,10,,,In English and Chinese (free version in Chinese only)
TitanFile,"No free space, unlimited paid","100 MB free, 1 GB paid, 4 GB professional",None,No,Yes[72],Yes For enterprise clients only,Yes[73],?,Yes for paid plans[74],0,,,"HIPAA-compliant, group messaging, audit logs, granular security control, embedable on website."
Tresorit[75],"3 GB free trial,  100-1000 GB paid plans[76]","500 MB free, 5 GB premium, 10 GB rest of paid plans[77]",None,No,No,No,For paid plans only[78],No,Yes[79],3,,,Files are client-side encrypted; zero-knowledge principles are used to prevent Tresorit itself from reading the files.
Wasabi,unlimited. paid only.[80],?,?,?,Yes,?,?,?,?,0,Yes,?,
Yandex Disk,"up to 20 GB free (10 GB when registering),  up to 1024 GB paid","2 GB upload via Web or WebDAV,  50 GB upload via application",200% of storage size per day,No,"Yes: REST, WebDAV, SDK[81]",No,14 days with free accounts 90 days with paid ones[82],?,No,10,,,"English, Russian, Ukrainian and Turkish interfaces. Service is tightly integrated with other Yandex services. Native apps for Windows, macOS, Linux, iOS, Android. Client-side encryption is available with 3rd party open source clients."
Web host,Storage size,Max. file size,Traffic or bandwidth limit,Remote uploading?,Developer API?,FTP upload possible?,File versioning,Follows symlinks,Client-side encryption[1],Free GB (number only),Append-only support? [2],Lifecycle Policy support?,Misc. notes
